rep-seed	SRC	phase	AC-fill	NG-fill	RC-fill	AC-overlap	NG-overlap	RC-overlap	total-quantity	AC-deployable	NG-deployable	RC-deployable	AC-not-ready	NG-not-ready	RC-not-ready	AC-total	NG-total	RC-total	AC	NG	RC
-4.58519892020117E+018	01205K000	phase1	0	43	19	0	0	0	792	0	0	0	0	551	47	0	594	66	0	18	2
-4.58519892020117E+018	01205K000	phase2	0	628	140	0	0	0	2880	0	0	0	0	1532	100	0	2160	240	0	18	2
-4.58519892020117E+018	01205K000	phase3	0	400	96	0	0	0	1110	0	0	0	0	464	0	0	864	96	0	18	2
-4.58519892020117E+018	01205K000	phase4	0	3321	415	0	296	53	13716	0	0	0	0	10207	1068	0	13824	1536	0	18	2
-4.58519892020117E+018	01205K000	comp2	0	1163	0	0	120	0	3474	0	0	0	0	8455	1082	0	9738	1082	0	18	2
-2.37661163081365E+018	01225K100	comp1	0	1005	0	0	90	0	1815	0	802	0	0	3143	0	0	5040	0	0	4	0
-2.37661163081365E+018	01225K100	phase1	0	7	0	0	0	0	99	0	0	0	0	125	0	0	132	0	0	4	0
-2.37661163081365E+018	01225K100	phase2	0	120	0	0	0	0	360	0	0	0	0	360	0	0	480	0	0	4	0
-2.37661163081365E+018	01225K100	phase3	0	48	0	0	0	0	144	0	0	0	0	144	0	0	192	0	0	4	0
-2.37661163081365E+018	01225K100	phase4	0	160	0	0	30	0	1649	0	0	0	0	2882	0	0	3072	0	0	4	0
-2.37661163081365E+018	01225K100	comp2	0	237	0	0	0	0	262	0	674	0	0	1253	0	0	2164	0	0	4	0
5.03801294104472E+018	05437RC00	comp1	0	1005	2939	0	90	192	12858	0	23	1153	0	2662	10836	0	3780	15120	0	3	12
5.03801294104472E+018	05437RC00	phase1	0	0	132	0	0	18	858	0	0	0	0	99	246	0	99	396	0	3	12
5.03801294104472E+018	05437RC00	phase2	0	0	450	0	0	30	3120	0	0	0	0	360	960	0	360	1440	0	3	12
5.03801294104472E+018	05437RC00	phase3	0	0	101	0	0	28	1227	0	0	0	0	144	447	0	144	576	0	3	12
5.03801294104472E+018	05437RC00	phase4	0	0	398	0	0	60	13133	0	0	0	0	2304	8758	0	2304	9216	0	3	12
5.03801294104472E+018	05437RC00	comp2	0	206	515	0	0	0	1834	0	2	109	0	581	2532	0	789	3156	0	3	12
6.51623796295318E+018	01285K100	comp1	2622	0	0	90	0	0	12002	0	0	0	1068	0	0	3780	0	0	3	0	0
6.51623796295318E+018	01285K100	phase1	99	0	0	0	0	0	693	0	0	0	0	0	0	99	0	0	3	0	0
6.51623796295318E+018	01285K100	phase2	360	0	0	0	0	0	2520	0	0	0	0	0	0	360	0	0	3	0	0
6.51623796295318E+018	01285K100	phase3	144	0	0	0	0	0	945	0	0	0	0	0	0	144	0	0	3	0	0
6.51623796295318E+018	01285K100	phase4	1080	0	0	36	0	0	11327	0	0	0	1188	0	0	2304	0	0	3	0	0
6.51623796295318E+018	01285K100	comp2	432	0	0	0	0	0	2392	189	0	0	1002	0	0	1623	0	0	3	0	0
-7.95023299776441E+018	01285K100	comp1	1748	0	0	60	0	0	12002	0	0	0	712	0	0	2520	0	0	2	0	0
-7.95023299776441E+018	01285K100	phase1	66	0	0	0	0	0	693	0	0	0	0	0	0	66	0	0	2	0	0
-7.95023299776441E+018	01285K100	phase2	240	0	0	0	0	0	2520	0	0	0	0	0	0	240	0	0	2	0	0
-7.95023299776441E+018	01285K100	phase3	96	0	0	0	0	0	945	0	0	0	0	0	0	96	0	0	2	0	0
-7.95023299776441E+018	01285K100	phase4	720	0	0	33	0	0	11327	0	0	0	783	0	0	1536	0	0	2	0	0
-7.95023299776441E+018	01285K100	comp2	405	0	0	0	0	0	2392	0	0	0	677	0	0	1082	0	0	2	0	0
4.31332933466712E+018	01285K100	comp1	874	0	0	30	0	0	12002	0	0	0	356	0	0	1260	0	0	1	0	0
4.31332933466712E+018	01285K100	phase1	33	0	0	0	0	0	693	0	0	0	0	0	0	33	0	0	1	0	0
4.31332933466712E+018	01285K100	phase2	120	0	0	0	0	0	2520	0	0	0	0	0	0	120	0	0	1	0	0
4.31332933466712E+018	01285K100	phase3	48	0	0	0	0	0	945	0	0	0	0	0	0	48	0	0	1	0	0
4.31332933466712E+018	01285K100	phase4	360	0	0	3	0	0	11327	0	0	0	405	0	0	768	0	0	1	0	0
4.31332933466712E+018	01285K100	comp2	216	0	0	0	0	0	2392	0	0	0	325	0	0	541	0	0	1	0	0
-4.67340569355965E+017	01205K000	comp1	2019	5257	480	30	480	60	15780	595	1282	54	1136	15661	1926	3780	22680	2520	3	18	2
-4.67340569355965E+017	01205K000	phase1	99	71	19	0	0	0	792	0	0	0	0	523	47	99	594	66	3	18	2
-4.67340569355965E+017	01205K000	phase2	360	533	139	0	0	0	2880	0	0	0	0	1627	101	360	2160	240	3	18	2
-4.67340569355965E+017	01205K000	phase3	144	336	96	0	0	0	1110	0	0	0	0	528	0	144	864	96	3	18	2
-4.67340569355965E+017	01205K000	phase4	1083	3743	416	33	351	53	13716	0	0	0	1188	9730	1067	2304	13824	1536	3	18	2
